"Team","Week","Season","Win_Loss","AVG AGE","diff","Prev_Win_Perc"
"Arizona Cardinals",1,2016,0,25.96,1,0.8125
"Arizona Cardinals",10,2016,1,25.96,8,0.8125
"Arizona Cardinals",11,2016,0,25.96,5,0.8125
"Arizona Cardinals",12,2016,0,25.96,3,0.8125
"Arizona Cardinals",13,2016,1,25.96,1,0.8125
"Arizona Cardinals",14,2016,0,25.96,2,0.8125
"Arizona Cardinals",15,2016,0,25.96,-5,0.8125
"Arizona Cardinals",16,2016,1,25.96,5,0.8125
"Arizona Cardinals",17,2016,1,25.96,4,0.8125
"Arizona Cardinals",2,2016,1,25.96,1,0.8125
"Arizona Cardinals",3,2016,0,25.96,-5,0.8125
"Arizona Cardinals",4,2016,0,25.96,1,0.8125
"Arizona Cardinals",5,2016,1,25.96,2,0.8125
"Arizona Cardinals",6,2016,1,25.96,1,0.8125
"Arizona Cardinals",8,2016,0,25.96,3,0.8125
"Arizona Cardinals",1,2017,0,27.04,-3,0.466666666666667
"Arizona Cardinals",10,2017,0,27.04,-3,0.466666666666667
"Arizona Cardinals",11,2017,0,27.04,3,0.466666666666667
"Arizona Cardinals",12,2017,1,27.04,4,0.466666666666667
"Arizona Cardinals",13,2017,0,27.04,14,0.466666666666667
"Arizona Cardinals",14,2017,1,27.04,12,0.466666666666667
"Arizona Cardinals",15,2017,0,27.04,4,0.466666666666667
"Arizona Cardinals",16,2017,1,27.04,-4,0.466666666666667
"Arizona Cardinals",17,2017,1,27.04,3,0.466666666666667
"Arizona Cardinals",2,2017,1,27.04,-1,0.466666666666667
"Arizona Cardinals",3,2017,0,27.04,1,0.466666666666667
"Arizona Cardinals",4,2017,1,27.04,-7,0.466666666666667
"Arizona Cardinals",5,2017,0,27.04,-1,0.466666666666667
"Arizona Cardinals",6,2017,1,27.04,2,0.466666666666667
"Arizona Cardinals",7,2017,0,27.04,4,0.466666666666667
"Arizona Cardinals",9,2017,1,27.04,-9,0.466666666666667
"Arizona Cardinals",1,2018,0,25.91,-2,0.5
"Arizona Cardinals",10,2018,0,25.91,-7,0.5
"Arizona Cardinals",11,2018,0,25.91,-1,0.5
"Arizona Cardinals",12,2018,0,25.91,3,0.5
"Arizona Cardinals",13,2018,1,25.91,3,0.5
"Arizona Cardinals",14,2018,0,25.91,5,0.5
"Arizona Cardinals",15,2018,0,25.91,11,0.5
"Arizona Cardinals",16,2018,0,25.91,7,0.5
"Arizona Cardinals",17,2018,0,25.91,3,0.5
"Arizona Cardinals",2,2018,0,25.91,2,0.5
"Arizona Cardinals",3,2018,0,25.91,2,0.5
"Arizona Cardinals",4,2018,0,25.91,-9,0.5
"Arizona Cardinals",5,2018,1,25.91,-2,0.5
"Arizona Cardinals",6,2018,0,25.91,-6,0.5
"Arizona Cardinals",7,2018,0,25.91,-5,0.5
"Arizona Cardinals",8,2018,1,25.91,0,0.5
"Arizona Cardinals",10,2019,0,25.83,2,0.1875
"Arizona Cardinals",11,2019,0,25.83,-2,0.1875
"Arizona Cardinals",13,2019,0,25.83,1,0.1875
"Arizona Cardinals",14,2019,0,25.83,1,0.1875
"Arizona Cardinals",15,2019,1,25.83,5,0.1875
"Arizona Cardinals",16,2019,1,25.83,-4,0.1875
"Arizona Cardinals",17,2019,0,25.83,4,0.1875
"Arizona Cardinals",2,2019,0,25.83,3,0.1875
"Arizona Cardinals",3,2019,0,25.83,0,0.1875
"Arizona Cardinals",4,2019,0,25.83,-6,0.1875
"Arizona Cardinals",5,2019,1,25.83,4,0.1875
"Arizona Cardinals",6,2019,1,25.83,-2,0.1875
"Arizona Cardinals",7,2019,1,25.83,1,0.1875
"Arizona Cardinals",8,2019,0,25.83,1,0.1875
"Arizona Cardinals",9,2019,0,25.83,1,0.1875
"Atlanta Falcons",1,2016,0,27.06,0,0.5
"Atlanta Falcons",10,2016,0,27.06,4,0.5
"Atlanta Falcons",12,2016,1,27.06,-3,0.5
