week,season,team,win,age,out,win_perc,lag_win_perc
1,2016,Arizona Cardinals,0,26.012452107279692,6,0.4375,0.8125
2,2016,Arizona Cardinals,1,26.012452107279692,7,0.4375,0.8125
3,2016,Arizona Cardinals,0,26.012452107279692,7,0.4375,0.8125
4,2016,Arizona Cardinals,0,26.012452107279692,8,0.4375,0.8125
5,2016,Arizona Cardinals,1,26.012452107279692,8,0.4375,0.8125
6,2016,Arizona Cardinals,1,26.012452107279692,9,0.4375,0.8125
7,2016,Arizona Cardinals,0,26.012452107279692,10,0.4375,0.8125
8,2016,Arizona Cardinals,0,26.012452107279692,10,0.4375,0.8125
10,2016,Arizona Cardinals,1,26.012452107279692,13,0.4375,0.8125
11,2016,Arizona Cardinals,0,26.012452107279692,14,0.4375,0.8125
12,2016,Arizona Cardinals,0,26.012452107279692,13,0.4375,0.8125
13,2016,Arizona Cardinals,1,26.012452107279692,12,0.4375,0.8125
14,2016,Arizona Cardinals,0,26.012452107279692,13,0.4375,0.8125
15,2016,Arizona Cardinals,0,26.012452107279692,15,0.4375,0.8125
16,2016,Arizona Cardinals,1,26.012452107279692,16,0.4375,0.8125
17,2016,Arizona Cardinals,1,26.012452107279692,18,0.4375,0.8125
1,2017,Arizona Cardinals,0,27.05982905982906,7,0.5,0.4375
2,2017,Arizona Cardinals,1,27.05982905982906,12,0.5,0.4375
3,2017,Arizona Cardinals,0,27.05982905982906,11,0.5,0.4375
4,2017,Arizona Cardinals,1,27.05982905982906,9,0.5,0.4375
5,2017,Arizona Cardinals,0,27.05982905982906,10,0.5,0.4375
6,2017,Arizona Cardinals,1,27.05982905982906,11,0.5,0.4375
7,2017,Arizona Cardinals,0,27.05982905982906,10,0.5,0.4375
9,2017,Arizona Cardinals,1,27.05982905982906,12,0.5,0.4375
10,2017,Arizona Cardinals,0,27.05982905982906,12,0.5,0.4375
11,2017,Arizona Cardinals,0,27.05982905982906,16,0.5,0.4375
12,2017,Arizona Cardinals,1,27.05982905982906,20,0.5,0.4375
13,2017,Arizona Cardinals,0,27.05982905982906,21,0.5,0.4375
14,2017,Arizona Cardinals,1,27.05982905982906,20,0.5,0.4375
15,2017,Arizona Cardinals,0,27.05982905982906,21,0.5,0.4375
16,2017,Arizona Cardinals,1,27.05982905982906,21,0.5,0.4375
17,2017,Arizona Cardinals,1,27.05982905982906,19,0.5,0.4375
1,2018,Arizona Cardinals,0,26.3,8,0.1875,0.5
2,2018,Arizona Cardinals,0,26.3,9,0.1875,0.5
3,2018,Arizona Cardinals,0,26.3,7,0.1875,0.5
4,2018,Arizona Cardinals,0,26.3,6,0.1875,0.5
5,2018,Arizona Cardinals,1,26.3,8,0.1875,0.5
6,2018,Arizona Cardinals,0,26.3,6,0.1875,0.5
7,2018,Arizona Cardinals,0,26.3,10,0.1875,0.5
8,2018,Arizona Cardinals,1,26.3,10,0.1875,0.5
10,2018,Arizona Cardinals,0,26.3,10,0.1875,0.5
11,2018,Arizona Cardinals,0,26.3,12,0.1875,0.5
12,2018,Arizona Cardinals,0,26.3,11,0.1875,0.5
13,2018,Arizona Cardinals,1,26.3,14,0.1875,0.5
14,2018,Arizona Cardinals,0,26.3,17,0.1875,0.5
15,2018,Arizona Cardinals,0,26.3,18,0.1875,0.5
16,2018,Arizona Cardinals,0,26.3,19,0.1875,0.5
17,2018,Arizona Cardinals,0,26.3,21,0.1875,0.5
1,2019,Arizona Cardinals,0,25.862523540489644,9,0.3125,0.1875
2,2019,Arizona Cardinals,0,25.862523540489644,9,0.3125,0.1875
3,2019,Arizona Cardinals,0,25.862523540489644,10,0.3125,0.1875
4,2019,Arizona Cardinals,0,25.862523540489644,8,0.3125,0.1875
5,2019,Arizona Cardinals,1,25.862523540489644,12,0.3125,0.1875
6,2019,Arizona Cardinals,1,25.862523540489644,12,0.3125,0.1875
7,2019,Arizona Cardinals,1,25.862523540489644,12,0.3125,0.1875
8,2019,Arizona Cardinals,0,25.862523540489644,11,0.3125,0.1875
9,2019,Arizona Cardinals,0,25.862523540489644,13,0.3125,0.1875
10,2019,Arizona Cardinals,0,25.862523540489644,14,0.3125,0.1875
11,2019,Arizona Cardinals,0,25.862523540489644,13,0.3125,0.1875
13,2019,Arizona Cardinals,0,25.862523540489644,11,0.3125,0.1875
14,2019,Arizona Cardinals,0,25.862523540489644,12,0.3125,0.1875
15,2019,Arizona Cardinals,1,25.862523540489644,13,0.3125,0.1875
16,2019,Arizona Cardinals,1,25.862523540489644,14,0.3125,0.1875
17,2019,Arizona Cardinals,0,25.862523540489644,15,0.3125,0.1875
1,2016,Atlanta Falcons,0,26.656854499579477,5,0.6875,0.5
2,2016,Atlanta Falcons,1,26.656854499579477,6,0.6875,0.5
3,2016,Atlanta Falcons,1,26.656854499579477,4,0.6875,0.5
4,2016,Atlanta Falcons,1,26.656854499579477,6,0.6875,0.5
5,2016,Atlanta Falcons,1,26.656854499579477,8,0.6875,0.5
6,2016,Atlanta Falcons,0,26.656854499579477,6,0.6875,0.5
7,2016,Atlanta Falcons,0,26.656854499579477,9,0.6875,0.5
8,2016,Atlanta Falcons,1,26.656854499579477,8,0.6875,0.5
9,2016,Atlanta Falcons,1,26.656854499579477,10,0.6875,0.5
10,2016,Atlanta Falcons,0,26.656854499579477,10,0.6875,0.5
12,2016,Atlanta Falcons,1,26.656854499579477,10,0.6875,0.5
13,2016,Atlanta Falcons,0,26.656854499579477,10,0.6875,0.5
14,2016,Atlanta Falcons,1,26.656854499579477,11,0.6875,0.5
15,2016,Atlanta Falcons,1,26.656854499579477,13,0.6875,0.5
16,2016,Atlanta Falcons,1,26.656854499579477,12,0.6875,0.5
17,2016,Atlanta Falcons,1,26.656854499579477,12,0.6875,0.5
1,2017,Atlanta Falcons,1,26.356605800214822,4,0.625,0.6875
2,2017,Atlanta Falcons,1,26.356605800214822,3,0.625,0.6875
3,2017,Atlanta Falcons,1,26.356605800214822,7,0.625,0.6875
4,2017,Atlanta Falcons,0,26.356605800214822,8,0.625,0.6875
6,2017,Atlanta Falcons,0,26.356605800214822,5,0.625,0.6875
7,2017,Atlanta Falcons,0,26.356605800214822,4,0.625,0.6875
8,2017,Atlanta Falcons,1,26.356605800214822,5,0.625,0.6875
9,2017,Atlanta Falcons,0,26.356605800214822,4,0.625,0.6875
10,2017,Atlanta Falcons,1,26.356605800214822,4,0.625,0.6875
11,2017,Atlanta Falcons,1,26.356605800214822,4,0.625,0.6875
12,2017,Atlanta Falcons,1,26.356605800214822,4,0.625,0.6875
13,2017,Atlanta Falcons,0,26.356605800214822,5,0.625,0.6875
14,2017,Atlanta Falcons,1,26.356605800214822,5,0.625,0.6875
15,2017,Atlanta Falcons,1,26.356605800214822,5,0.625,0.6875
16,2017,Atlanta Falcons,0,26.356605800214822,4,0.625,0.6875
17,2017,Atlanta Falcons,1,26.356605800214822,4,0.625,0.6875
1,2018,Atlanta Falcons,0,26.832978723404256,3,0.4375,0.625
2,2018,Atlanta Falcons,1,26.832978723404256,4,0.4375,0.625
3,2018,Atlanta Falcons,0,26.832978723404256,5,0.4375,0.625
4,2018,Atlanta Falcons,0,26.832978723404256,6,0.4375,0.625
5,2018,Atlanta Falcons,0,26.832978723404256,7,0.4375,0.625
6,2018,Atlanta Falcons,1,26.832978723404256,6,0.4375,0.625
7,2018,Atlanta Falcons,1,26.832978723404256,5,0.4375,0.625
9,2018,Atlanta Falcons,1,26.832978723404256,7,0.4375,0.625
10,2018,Atlanta Falcons,0,26.832978723404256,6,0.4375,0.625
11,2018,Atlanta Falcons,0,26.832978723404256,5,0.4375,0.625
12,2018,Atlanta Falcons,0,26.832978723404256,5,0.4375,0.625
13,2018,Atlanta Falcons,0,26.832978723404256,5,0.4375,0.625
14,2018,Atlanta Falcons,0,26.832978723404256,7,0.4375,0.625
15,2018,Atlanta Falcons,1,26.832978723404256,7,0.4375,0.625
16,2018,Atlanta Falcons,1,26.832978723404256,7,0.4375,0.625
17,2018,Atlanta Falcons,1,26.832978723404256,7,0.4375,0.625
1,2019,Atlanta Falcons,0,26.602478551000953,9,0.4375,0.4375
2,2019,Atlanta Falcons,1,26.602478551000953,9,0.4375,0.4375
3,2019,Atlanta Falcons,0,26.602478551000953,10,0.4375,0.4375
4,2019,Atlanta Falcons,0,26.602478551000953,11,0.4375,0.4375
5,2019,Atlanta Falcons,0,26.602478551000953,14,0.4375,0.4375
6,2019,Atlanta Falcons,0,26.602478551000953,14,0.4375,0.4375
7,2019,Atlanta Falcons,0,26.602478551000953,13,0.4375,0.4375
8,2019,Atlanta Falcons,0,26.602478551000953,16,0.4375,0.4375
10,2019,Atlanta Falcons,1,26.602478551000953,15,0.4375,0.4375
11,2019,Atlanta Falcons,1,26.602478551000953,15,0.4375,0.4375
12,2019,Atlanta Falcons,0,26.602478551000953,17,0.4375,0.4375
13,2019,Atlanta Falcons,0,26.602478551000953,15,0.4375,0.4375
14,2019,Atlanta Falcons,1,26.602478551000953,16,0.4375,0.4375
15,2019,Atlanta Falcons,1,26.602478551000953,18,0.4375,0.4375
16,2019,Atlanta Falcons,1,26.602478551000953,16,0.4375,0.4375
17,2019,Atlanta Falcons,1,26.602478551000953,17,0.4375,0.4375
1,2016,Baltimore Ravens,1,26.28435114503817,15,0.5,0.3125
2,2016,Baltimore Ravens,1,26.28435114503817,15,0.5,0.3125
3,2016,Baltimore Ravens,1,26.28435114503817,14,0.5,0.3125
4,2016,Baltimore Ravens,0,26.28435114503817,14,0.5,0.3125
5,2016,Baltimore Ravens,0,26.28435114503817,13,0.5,0.3125
6,2016,Baltimore Ravens,0,26.28435114503817,16,0.5,0.3125
7,2016,Baltimore Ravens,0,26.28435114503817,19,0.5,0.3125
9,2016,Baltimore Ravens,1,26.28435114503817,17,0.5,0.3125
10,2016,Baltimore Ravens,1,26.28435114503817,17,0.5,0.3125
11,2016,Baltimore Ravens,0,26.28435114503817,18,0.5,0.3125
12,2016,Baltimore Ravens,1,26.28435114503817,17,0.5,0.3125
13,2016,Baltimore Ravens,1,26.28435114503817,17,0.5,0.3125
14,2016,Baltimore Ravens,0,26.28435114503817,16,0.5,0.3125
15,2016,Baltimore Ravens,1,26.28435114503817,16,0.5,0.3125
16,2016,Baltimore Ravens,0,26.28435114503817,15,0.5,0.3125
17,2016,Baltimore Ravens,0,26.28435114503817,14,0.5,0.3125
1,2017,Baltimore Ravens,1,26.100093545369504,13,0.5625,0.5
2,2017,Baltimore Ravens,1,26.100093545369504,16,0.5625,0.5
3,2017,Baltimore Ravens,0,26.100093545369504,17,0.5625,0.5
4,2017,Baltimore Ravens,0,26.100093545369504,17,0.5625,0.5
5,2017,Baltimore Ravens,1,26.100093545369504,17,0.5625,0.5
6,2017,Baltimore Ravens,0,26.100093545369504,20,0.5625,0.5
7,2017,Baltimore Ravens,0,26.100093545369504,19,0.5625,0.5
8,2017,Baltimore Ravens,1,26.100093545369504,18,0.5625,0.5
9,2017,Baltimore Ravens,0,26.100093545369504,17,0.5625,0.5
11,2017,Baltimore Ravens,1,26.100093545369504,12,0.5625,0.5
12,2017,Baltimore Ravens,1,26.100093545369504,14,0.5625,0.5
13,2017,Baltimore Ravens,1,26.100093545369504,13,0.5625,0.5
14,2017,Baltimore Ravens,0,26.100093545369504,15,0.5625,0.5
15,2017,Baltimore Ravens,1,26.100093545369504,15,0.5625,0.5
16,2017,Baltimore Ravens,1,26.100093545369504,15,0.5625,0.5
17,2017,Baltimore Ravens,0,26.100093545369504,16,0.5625,0.5
1,2018,Baltimore Ravens,1,25.51779359430605,12,0.625,0.5625
2,2018,Baltimore Ravens,0,25.51779359430605,14,0.625,0.5625
3,2018,Baltimore Ravens,1,25.51779359430605,17,0.625,0.5625
4,2018,Baltimore Ravens,1,25.51779359430605,15,0.625,0.5625
5,2018,Baltimore Ravens,0,25.51779359430605,16,0.625,0.5625
6,2018,Baltimore Ravens,1,25.51779359430605,15,0.625,0.5625
7,2018,Baltimore Ravens,0,25.51779359430605,17,0.625,0.5625
8,2018,Baltimore Ravens,0,25.51779359430605,17,0.625,0.5625
